time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
2388740,2.37821197,-0.04703063,0.12164013,0.09925727,-0.09703926,-0.04574692,0.99422855,-0.05603692,-0.00063979,-0.01595706,-0.00028978,-0.04858314,-0.02292064,0.99855604,0.09719222,-0.04598005,3.13993644
2421636,2.41110801,-0.06155283,-0.00506279,0.08859878,-0.09876716,-0.04671599,0.99401321,-0.02769768,-0.01529573,0.00647509,-0.00029429,-0.04945076,-0.02340761,0.99850206,0.09892848,-0.04696280,3.13985681
2454504,2.44397592,-0.05249311,0.02424809,0.07567535,-0.09976417,-0.04844130,0.99383115,-0.01278465,-0.02162705,0.00177431,-0.00027014,-0.04995263,-0.02427161,0.99845657,0.09993042,-0.04870344,3.13969779
2487356,2.47682809,-0.03637212,0.13549616,0.08406891,-0.10081300,-0.05014314,0.99364080,-0.01686279,-0.02456389,0.02637875,-0.00024731,-0.05048060,-0.02512403,0.99840888,0.10098457,-0.05042128,3.13953948
2520236,2.50970792,-0.02411486,0.04409954,0.07221133,-0.10179123,-0.05187491,0.99345226,-0.01173416,-0.01892587,0.01338363,-0.00022215,-0.05097334,-0.02599136,0.99836168,0.10196784,-0.05216942,3.13937497
2553116,2.54258799,-0.03117611,-0.00133231,0.03344104,-0.10233337,-0.05379194,0.99329452,-0.00826234,-0.02604205,0.00792617,-0.00018346,-0.05124773,-0.02695059,0.99832220,0.10251283,-0.05410223,3.13918399
2586028,2.57550001,-0.02518070,0.01372282,0.02184992,-0.10395631,-0.05492228,0.99306411,-0.03227416,-0.02222616,0.00742412,-0.00017841,-0.05206360,-0.02751819,0.99826450,0.10414447,-0.05524959,3.13906979
2618904,2.60837602,-0.02331547,-0.00452986,0.01945176,-0.10521595,-0.05644800,0.99284582,-0.01831921,-0.02143285,0.00666589,-0.00015795,-0.05269784,-0.02828296,0.99820976,0.10541107,-0.05679361,3.13891220
2651780,2.64125204,-0.01412251,-0.09312864,-0.01132465,-0.10679110,-0.05761484,0.99261074,-0.02528898,-0.01831290,0.00470376,-0.00014909,-0.05349015,-0.02886878,0.99815092,0.10699514,-0.05797868,3.13878583
2684712,2.67418408,0.02584686,-0.02877795,-0.03210873,-0.10815544,-0.05903107,0.99237976,-0.02172739,-0.02129120,0.01982731,-0.00012805,-0.05417724,-0.02957888,0.99809303,0.10836744,-0.05941434,3.13862586
2717584,2.70705604,0.03090965,0.06115314,-0.01931853,-0.10957164,-0.06040845,0.99214134,-0.02104360,-0.02040210,0.00297582,-0.00010931,-0.05489046,-0.03026976,0.99803333,0.10979211,-0.06081187,3.13846898
2750376,2.73984789,0.02304901,0.10205513,-0.00492956,-0.11132030,-0.06134166,0.99188919,-0.02149220,-0.01165638,0.00444865,-0.00010900,-0.05577001,-0.03073930,0.99797019,0.11155154,-0.06176459,3.13836145
2783164,2.77263593,0.05502450,0.00279786,-0.02198316,-0.11305332,-0.06226451,0.99163589,-0.02757169,-0.01488393,0.02740705,-0.00010746,-0.05664186,-0.03120366,0.99790678,0.11329556,-0.06270737,3.13825082
2815992,2.80546398,0.07354365,-0.02065084,-0.00706126,-0.11482090,-0.06310660,0.99137983,-0.02848965,-0.01379770,0.00105178,-0.00010987,-0.05753108,-0.03162785,0.99784269,0.11507470,-0.06356955,3.13814997
2848852,2.83832406,0.03490658,0.06861409,-0.00679479,-0.11672070,-0.06365236,0.99112281,-0.02243946,-0.00568359,-0.03311497,-0.00012293,-0.05848637,-0.03190425,0.99777812,0.11698738,-0.06413440,3.13808202
2881716,2.87118797,-0.00892649,-0.05142726,-0.02717917,-0.11867816,-0.06377949,0.99088230,-0.03537457,-0.00213848,-0.00626314,-0.00014849,-0.05947005,-0.03197153,0.99771795,0.11895854,-0.06427769,3.13806128
2914680,2.90415191,-0.00572894,-0.08593415,0.00612864,-0.12043001,-0.06463750,0.99061527,-0.02751920,-0.01348750,0.01915032,-0.00015205,-0.06035184,-0.03240404,0.99765100,0.12072303,-0.06515749,3.13795828
2947560,2.93703193,0.02398162,0.00439663,-0.03157581,-0.11924809,-0.06624627,0.99065179,0.00596683,-0.01187874,0.01642829,-0.00008132,-0.05976118,-0.03320569,0.99766016,0.11953256,-0.06677198,3.13775873
2980452,2.96992397,0.02957734,-0.03104288,-0.03970291,-0.12078689,-0.06745415,0.99038362,-0.01202562,-0.00945015,-0.00259066,-0.00006723,-0.06053689,-0.03381253,0.99759292,0.12108259,-0.06800408,3.13760375
3013392,3.00286388,0.01652067,-0.11711026,-0.03597244,-0.12256680,-0.06823132,0.99011201,-0.00633945,-0.00256947,-0.01208466,-0.00007120,-0.06143302,-0.03420469,0.99752492,0.12287578,-0.06880395,3.13750123
3046280,3.03575205,-0.00826034,0.04743032,-0.01678714,-0.12082339,-0.06917523,0.99026069,0.01437807,-0.00870563,0.00851858,-0.00001072,-0.06055895,-0.03467279,0.99756221,0.12111933,-0.06974227,3.13738369
3079088,3.06855988,0.01012557,-0.00839357,-0.02584686,-0.12224782,-0.07052307,0.98999032,-0.02252758,-0.02005311,0.02392566,0.00000763,-0.06127772,-0.03534964,0.99749431,0.12255443,-0.07111598,3.13721227
3111848,3.10132002,0.01971822,-0.09739203,0.00000000,-0.12088866,-0.07199995,0.99005136,0.01297850,-0.01662310,0.01165760,0.00007661,-0.06059800,-0.03608519,0.99750976,0.12118508,-0.07259565,3.13703298
3144612,3.13408398,0.01545482,0.02957734,-0.01798622,-0.11913056,-0.07291910,0.99019699,0.02245087,-0.01155356,0.00052571,0.00013804,-0.05971686,-0.03654098,0.99754610,0.11941422,-0.07350832,3.13691973
3177388,3.16686010,0.02971057,0.01199081,-0.02757887,-0.12033206,-0.07447167,0.98993644,-0.00686521,-0.00633888,0.03057140,0.00016517,-0.06032415,-0.03731988,0.99748096,0.12062437,-0.07508729,3.13672518
3210196,3.19966793,0.04396631,0.02291577,-0.03037672,-0.12224884,-0.07490742,0.98966865,-0.00934297,-0.00321758,0.02131766,0.00014573,-0.06128839,-0.03754187,0.99741382,0.12255541,-0.07554535,3.13666319
3243040,3.23251199,0.05022818,0.04649770,-0.00386371,-0.12420864,-0.07513216,0.98940744,-0.02740269,-0.00348113,-0.00039381,0.00011700,-0.06227385,-0.03765865,0.99734830,0.12453026,-0.07579106,3.13663053
3275876,3.26534795,0.03623890,0.01692037,0.03210873,-0.12616170,-0.07536599,0.98914241,-0.00787149,-0.00105003,0.00011539,0.00008522,-0.06325602,-0.03778029,0.99728183,0.12649883,-0.07604633,3.13660311
3308728,3.29819989,0.03743798,0.01065850,0.01865237,-0.12663227,-0.07728106,0.98893470,-0.00349468,-0.00963300,0.00960046,0.00013571,-0.06349730,-0.03873923,0.99722976,0.12697319,-0.07798728,3.13636016
3341540,3.33101201,0.04436600,0.01665390,0.02251608,-0.12515811,-0.07861599,0.98901720,0.00504093,-0.00854221,0.02074844,0.00020535,-0.06275970,-0.03940345,0.99725046,0.12548719,-0.07932223,3.13619470
3374352,3.36382389,0.05355895,0.00186524,0.01692037,-0.12484625,-0.07664985,0.98921051,0.00033453,0.00633734,0.00663906,0.00014897,-0.06259793,-0.03841937,0.99729890,0.12517290,-0.07733136,3.13644528
3407200,3.39667201,0.03290811,0.01345635,0.03277488,-0.12288675,-0.07650881,0.98946685,0.01766214,0.00155764,-0.00289464,0.00017983,-0.06161273,-0.03834444,0.99736318,0.12319819,-0.07716972,3.13647007
3440020,3.42949199,0.01905207,0.03677182,0.00839357,-0.12092397,-0.07646672,0.98971166,0.01350208,-0.00019344,0.00784689,0.00021599,-0.06062640,-0.03831895,0.99742450,0.12122068,-0.07710842,3.13647794
3472872,3.46234393,0.02864472,0.01998469,-0.00426340,-0.11981064,-0.07812101,0.98971834,-0.00177140,-0.00293367,0.02151215,0.00028824,-0.06007122,-0.03914394,0.99742622,0.12009916,-0.07876925,3.13627648
3505772,3.49524402,0.03943645,0.02864472,0.00826034,-0.12178666,-0.07810523,0.98947820,-0.01542038,-0.00050805,0.00539482,0.00024887,-0.06106391,-0.03914052,0.99736604,0.12208976,-0.07877245,3.13627648
3538624,3.52809596,0.02971057,0.02464778,0.01558805,-0.12161204,-0.07612346,0.98965415,-0.00021413,0.00043986,0.00228918,0.00019098,-0.06097121,-0.03814888,0.99741010,0.12191385,-0.07676810,3.13652205
3571424,3.56089591,0.02051761,0.02318224,0.01412251,-0.12255370,-0.07435316,0.98967247,-0.00464357,0.00770277,0.00349158,0.00011827,-0.06144009,-0.03726565,0.99741468,0.12286260,-0.07498817,3.13674092
3604232,3.59370398,0.02344870,0.01119142,0.00786064,-0.12305681,-0.07626271,0.98946495,-0.00291976,-0.00625683,0.01175570,0.00016714,-0.06169750,-0.03822184,0.99736270,0.12336952,-0.07692263,3.13650417
3637036,3.62650799,0.02171669,0.04583154,0.02398162,-0.12501155,-0.07591777,0.98924646,-0.00877751,0.00072246,0.00733560,0.00011764,-0.06267899,-0.03805396,0.99730796,0.12533948,-0.07659291,3.13654804
3669868,3.65933990,0.01718683,0.01838591,0.02491424,-0.12319226,-0.07670230,0.98941383,0.00624890,-0.00435238,0.01327169,0.00017488,-0.06176654,-0.03844222,0.99734983,0.12350604,-0.07736823,3.13645577
3702660,3.69213199,0.02464778,0.02744564,0.02318224,-0.12507063,-0.07727537,0.98913393,-0.01115984,-0.00402346,0.01330751,0.00015500,-0.06271191,-0.03873332,0.99727973,0.12539904,-0.07796591,3.13638448
3735500,3.72497200,0.03557274,0.03464012,0.02424809,-0.12704552,-0.07723766,0.98888483,-0.00259314,-0.00088734,0.01135933,0.00011421,-0.06370446,-0.03871930,0.99721727,0.12738983,-0.07794756,3.13638949
3768348,3.75781989,0.02571363,0.03903675,0.02944411,-0.12894278,-0.07664207,0.98868579,-0.00948495,0.00388816,-0.00894946,0.00005637,-0.06465671,-0.03842623,0.99716739,0.12930278,-0.07736443,3.13646841
3801200,3.79067206,0.00839357,0.01318989,0.03464012,-0.13056682,-0.07773236,0.98838758,-0.00468709,-0.00307819,0.00746202,0.00005763,-0.06547602,-0.03897572,0.99709262,0.13094067,-0.07848408,3.13632869
3834032,3.82350397,0.02424809,0.03344104,0.03903675,-0.12885119,-0.07872310,0.98853416,0.00238636,-0.00501714,0.02391702,0.00012070,-0.06461585,-0.03946704,0.99712934,0.12921046,-0.07946848,3.13620662
3866852,3.85632400,0.04982848,0.03410720,0.01492190,-0.12700181,-0.07941374,0.98871822,0.00566392,-0.00334993,0.01006108,0.00017898,-0.06368792,-0.03980791,0.99717550,0.12734574,-0.08014783,3.13612079
3899668,3.88913993,0.02744564,0.00492956,0.01998469,-0.12586270,-0.07781142,0.98899097,0.00940762,0.01189344,-0.01096368,0.00014928,-0.06311111,-0.03900378,0.99724388,0.12619743,-0.07851583,3.13632988
